start	end	season_year	FY
19910825	19911221	Fall-1991	1992
19911222	19920125	Winter-1992	1992
19920126	19920516	Spring-1992	1992
19920517	19920822	Summer-1992	1993
19920823	19921219	Fall-1992	1993
19921220	19930123	Winter-1993	1993
19930124	19930508	Spring-1993	1993
19930509	19930814	Summer-1993	1994
19930815	19931211	Fall-1993	1994
19931212	19940115	Winter-1994	1994
19940116	19940507	Spring-1994	1994
19940508	19940813	Summer-1994	1995
19940814	19941210	Fall-1994	1995
19941211	19950114	Winter-1995	1995
19950115	19950506	Spring-1995	1995
19950507	19950812	Summer-1995	1996
19950813	19951209	Fall-1995	1996
19951210	19960120	Winter-1996	1996
19960121	19960511	Spring-1996	1996
19960512	19960817	Summer-1996	1997
19960818	19961214	Fall-1996	1997
19961215	19970118	Winter-1997	1997
19970119	19970510	Spring-1997	1997
19970511	19970816	Summer-1997	1998
19970817	19971213	Fall-1997	1998
19971214	19980117	Winter-1998	1998
19980118	19980509	Spring-1998	1998
19980510	19980815	Summer-1998	1999
19980816	19981212	Fall-1998	1999
19981213	19990116	Winter-1999	1999
19990117	19990508	Spring-1999	1999
19990509	19990814	Summer-1999	2000
19990815	19991211	Fall-1999	2000
19991212	20000115	Winter-2000	2000
20000116	20000506	Spring-2000	2000
20000507	20000812	Summer-2000	2001
20000813	20001209	Fall-2000	2001
20001210	20010120	Winter-2001	2001
20010121	20010512	Spring-2001	2001
20010513	20010818	Summer-2001	2002
20010819	20011215	Fall-2001	2002
20011216	20020119	Winter-2002	2002
20020120	20020511	Spring-2002	2002
20020512	20020817	Summer-2002	2003
20020818	20021214	Fall-2002	2003
20021215	20030118	Winter-2003	2003
20030119	20030510	Spring-2003	2003
20030511	20030816	Summer-2003	2004
20030817	20031213	Fall-2003	2004
20031214	20040117	Winter-2004	2004
20040118	20040508	Spring-2004	2004
20040509	20040814	Summer-2004	2005
20040815	20041211	Fall-2004	2005
20041212	20050115	Winter-2005	2005
20050116	20050507	Spring-2005	2005
20050508	20050813	Summer-2005	2006
20050814	20051210	Fall-2005	2006
20051211	20060114	Winter-2006	2006
20060115	20060506	Spring-2006	2006
20060507	20060812	Summer-2006	2007
20060813	20061209	Fall-2006	2007
20061210	20070120	Winter-2007	2007
20070121	20070512	Spring-2007	2007
20070513	20070818	Summer-2007	2008
20070819	20071215	Fall-2007	2008
20071216	20080119	Winter-2008	2008
20080120	20080510	Spring-2008	2008
20080511	20080816	Summer-2008	2009
20080817	20081213	Fall-2008	2009
20081214	20090117	Winter-2009	2009
20090118	20090509	Spring-2009	2009
20090510	20090815	Summer-2009	2010
20090816	20091212	Fall-2009	2010
20091213	20100116	Winter-2010	2010
20100117	20100508	Spring-2010	2010
20100509	20100814	Summer-2010	2011
20100815	20101211	Fall-2010	2011
20101212	20110115	Winter-2011	2011
20110116	20110507	Spring-2011	2011
20110508	20110813	Summer-2011	2012
20110814	20111210	Fall-2011	2012
20111211	20120114	Winter-2012	2012
20120115	20120505	Spring-2012	2012
20120506	20120811	Summer-2012	2013
20120812	20121208	Fall-2012	2013
20121209	20130119	Winter-2013	2013
20130120	20130511	Spring-2013	2013
20130512	20130817	Summer-2013	2014
20130818	20131214	Fall-2013	2014
20131215	20140118	Winter-2014	2014
20140119	20140510	Spring-2014	2014
20140511	20140816	Summer-2014	2015
20140817	20141213	Fall-2014	2015
20141214	20150117	Winter-2015	2015
20150118	20150509	Spring-2015	2015
20150510	20150815	Summer-2015	2016
20150816	20151212	Fall-2015	2016
20151213	20160116	Winter-2016	2016
20160117	20160507	Spring-2016	2016
20160508	20160813	Summer-2016	2017
20160814	20161210	Fall-2016	2017
20161211	20170114	Winter-2017	2017
20170115	20170506	Spring-2017	2017
20170507	20170812	Summer-2017	2018
20170813	20171209	Fall-2017	2018
20171210	20180120	Winter-2018	2018
20180121	20180512	Spring-2018	2018
20180513	20180818	Summer-2018	2019
